customerId,currentBalance,averageBalance,minimumBalance,maximumBalance,balanceVolatility,averageTransactionValue,monthlyTransactionValue,transactionsPerMonth,daysSinceLastTransaction,monthlyActiveDays,transactionGrowthRate,engagementScore,engagementCategory,scoreBreakdown,numberOfProducts,hasCreditCard,hasLoan,hasInvestment,hasInsurance,complaintCount,complaintsLast90Days,unresolvedComplaints,averageResolutionTime,digitalUsagePercentage,mobileLoginFrequency,webLoginFrequency,digitalSessionDuration,age,income,creditScore,tenureMonths,churn
CUST-1001,1093.97,1233.55,200.0,9402.26,1.567,2212.19,24334.05,11.0,1,9,-0.162,67.5,Engaged,"{'transactionFrequency': 13.8, 'digitalUsage': 20.1, 'productUsage': 16.0, 'recency': 19.7, 'servicePenalty': 2.0}",4,False,True,True,True,1,1,0,19.0,80.3,8.0,3.5,515.9,44,493919,758,6,0
CUST-1002,170807.56,220792.41,170807.56,252266.78,0.11,2486.56,17405.95,7.0,2,7,1.385,55.6,At Risk,"{'transactionFrequency': 8.8, 'digitalUsage': 15.5, 'productUsage': 12.0, 'recency': 19.3, 'servicePenalty': 0.0}",3,True,True,False,False,1,0,0,66.0,61.9,3.3,4.0,612.5,50,515655,785,4,0
CUST-1003,976.6,14171.36,200.0,25411.87,0.58,2307.58,17306.84,7.5,9,5,0.35,46.5,At Risk,"{'transactionFrequency': 9.4, 'digitalUsage': 16.1, 'productUsage': 4.0, 'recency': 17.0, 'servicePenalty': 0.0}",1,False,False,False,False,0,0,0,0.0,64.4,3.5,2.2,478.6,36,657372,707,140,0
CUST-1004,7361.07,6083.87,326.82,17783.26,0.638,3360.14,11760.5,3.5,42,0,-0.357,38.2,Dormant,"{'transactionFrequency': 4.4, 'digitalUsage': 23.8, 'productUsage': 4.0, 'recency': 6.0, 'servicePenalty': 0.0}",1,False,False,False,False,0,0,0,0.0,95.2,5.7,1.0,569.4,39,250000,652,10,1
CUST-1005,1388.1,8661.25,200.0,49239.79,1.457,2251.88,67556.55,30.0,1,20,0.092,67.3,Engaged,"{'transactionFrequency': 25.0, 'digitalUsage': 18.6, 'productUsage': 4.0, 'recency': 19.7, 'servicePenalty': 0.0}",1,False,False,False,False,0,0,0,0.0,74.4,10.2,1.5,491.4,27,1326829,777,59,0
CUST-1006,200.0,19149.43,200.0,63798.91,1.073,3179.81,43987.33,13.83,5,11,0.297,57.6,At Risk,"{'transactionFrequency': 17.3, 'digitalUsage': 16.0, 'productUsage': 8.0, 'recency': 18.3, 'servicePenalty': 2.0}",2,False,False,False,True,1,1,0,26.0,63.9,2.8,3.8,522.6,36,846269,679,9,0
CUST-1007,200.0,2228.03,200.0,8394.71,1.164,2189.98,8394.93,3.83,12,2,-0.333,39.2,Dormant,"{'transactionFrequency': 4.8, 'digitalUsage': 17.4, 'productUsage': 8.0, 'recency': 16.0, 'servicePenalty': 7.0}",2,True,False,False,False,1,1,1,0.0,69.6,3.5,1.8,564.2,23,835083,737,7,1
CUST-1008,200.0,1526.92,200.0,18337.07,2.401,2339.52,12867.38,5.5,37,0,-0.542,38.5,Dormant,"{'transactionFrequency': 6.9, 'digitalUsage': 18.9, 'productUsage': 12.0, 'recency': 7.7, 'servicePenalty': 7.0}",3,False,True,True,False,1,1,1,0.0,75.8,8.3,2.5,428.7,39,319071,642,17,1
CUST-1009,1178.78,1449.04,200.0,6429.24,1.048,2545.39,17393.53,6.83,69,0,-0.464,35.4,Dormant,"{'transactionFrequency': 8.5, 'digitalUsage': 18.9, 'productUsage': 8.0, 'recency': 0.0, 'servicePenalty': 0.0}",2,True,False,False,False,0,0,0,0.0,75.6,1.8,2.5,457.6,29,250000,587,4,1
CUST-1010,2020.55,34856.64,2020.55,67174.41,0.411,2227.45,44920.24,20.17,1,16,-0.078,68.4,Engaged,"{'transactionFrequency': 25.0, 'digitalUsage': 17.8, 'productUsage': 8.0, 'recency': 19.7, 'servicePenalty': 2.0}",2,True,False,False,False,1,1,0,91.0,71.1,6.0,2.0,509.5,68,815297,850,80,0
